City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Husum,DE,71.56,overcast clouds,54.4858,9.0524,Best Western Plus Theodor Storm Hotel
82,Tripoli,LY,84.85,clear sky,32.8752,13.1875,Hotel Al-Safwa
83,Salamiyah,SY,83.41,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
84,Huarmey,PE,68.38,broken clouds,-10.0681,-78.1522,Hotel Miramar
85,Chicama,PE,63.14,broken clouds,-7.8447,-79.1469,Balihai Bungalows
86,Port Hardy,CA,62.78,overcast clouds,50.6996,-127.4199,Airport Inn
88,Kasongo-Lunda,CD,87.6,broken clouds,-6.4667,16.8167,
89,Saskylakh,RU,47.73,clear sky,71.9167,114.0833,
90,El Paujil,CO,80.35,overcast clouds,1.5701,-75.3286,Hostal La Reina
91,Upernavik,GL,42.69,light rain,72.7868,-56.1549,Gina's Guesthouse - Upernavik
92,Ternate,ID,79.59,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
93,Korla,CN,76.05,overcast clouds,41.7597,86.1469,Gulisitan Hotel
94,Namibe,AO,68.77,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
95,Cape Town,ZA,61.21,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
96,Kingman,US,88.3,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
98,Katsuura,JP,69.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
99,Mar Del Plata,AR,51.82,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
100,Wangaratta,AU,48.25,clear sky,-36.3667,146.3333,Quality Hotel Wangaratta Gateway
101,Ponta Do Sol,PT,84.83,broken clouds,32.6667,-17.1,Hotel do Campo
102,Port Blair,IN,80.02,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
103,Bonavista,CA,77.0,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
104,Ixtapa,MX,84.22,clear sky,20.7,-105.2,Hotel Plaza Providencia
105,Kaseda,JP,78.67,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
107,Portsoy,GB,62.19,overcast clouds,57.6814,-2.6896,"Station Hotel, Portsoy"
108,Esperance,AU,49.84,clear sky,-33.8667,121.9,Hospitality Esperance
109,Qasigiannguit,GL,46.65,overcast clouds,68.8193,-51.1922,Hotel Diskobay
110,Labuhan,ID,77.92,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
112,Mount Gambier,AU,49.91,overcast clouds,-37.8333,140.7667,The Commodore
113,Salta,AR,67.57,clear sky,-24.7859,-65.4117,Hotel Alejandro I
114,Victoria,HK,84.25,light rain,22.2855,114.1577,Mini Hotel Central
115,Ulaanbaatar,MN,64.53,scattered clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
117,Ushirombo,TZ,76.1,few clouds,-3.4919,31.9639,Kigali Hotel
118,Chokurdakh,RU,40.06,overcast clouds,70.6333,147.9167,
119,Tuatapere,NZ,49.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
120,Itoigawa,JP,74.3,overcast clouds,37.0333,137.85,Hotel Route Inn Itoigawa
121,Tasiilaq,GL,51.96,overcast clouds,65.6145,-37.6368,The Red House
122,Colquechaca,BO,45.63,clear sky,-18.6667,-66.0167,
123,Rio Gallegos,AR,46.45,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
124,Fort Nelson,CA,56.79,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
125,Bluff,NZ,49.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
126,Alofi,NU,71.49,light rain,-19.0595,-169.9187,Taloa Heights
127,San Policarpo,PH,81.01,broken clouds,12.1791,125.5072,Manong Aklan Resort
128,Auki,SB,76.55,broken clouds,-8.7676,160.7034,Auki Motel
129,Coahuayana,MX,89.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
130,Sao Pedro Do Sul,BR,66.85,scattered clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
131,Hermanus,ZA,55.8,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
132,Chuy,UY,61.07,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
133,Jinka,ET,68.58,overcast clouds,5.65,36.65,
134,Dwarka,IN,81.59,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
135,San Rafael,AR,63.39,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
136,Hobart,AU,42.66,light rain,-42.8794,147.3294,Mantra on Collins Hobart
137,Bari Sadri,IN,76.15,clear sky,24.4167,74.4667,Durga Auto and vishvkarma service badisadri rajasthan
138,Olafsvik,IS,54.34,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
139,Neiafu,TO,70.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
140,Muisne,EC,77.79,overcast clouds,0.6,-80.0333,Quinta Samay
141,Batemans Bay,AU,56.19,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
142,Talnakh,RU,55.71,light rain,69.4865,88.3972,Talnakh Hotel
143,Mehamn,NO,44.78,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
144,Ancud,CL,44.42,heavy intensity rain,-41.8697,-73.8203,Hotel Arena Gruesa
145,New Amsterdam,GY,83.89,broken clouds,6.25,-57.5167,Little Rock Suites
146,Colares,PT,85.19,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
147,Pisco,PE,66.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
148,Guerrero Negro,MX,77.43,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
150,Sumenep,ID,79.93,clear sky,-7.0167,113.8667,OYO 3271 Homestay Pandian
151,Grand-Bourg,GP,86.2,broken clouds,15.8835,-61.3148,Coco Beach Resort
152,Bangangte,CM,65.59,light rain,5.1409,10.5198,Hôtel Cristal Foua Ndigong
153,Nantucket,US,82.26,clear sky,41.2835,-70.0995,Jared Coffin House
154,Sept-Iles,CA,73.06,broken clouds,50.2001,-66.3821,Comfort Inn
155,Ilulissat,GL,46.42,few clouds,69.2167,-51.1,Hotel Arctic
156,Nanortalik,GL,49.68,light rain,60.1432,-45.2371,Hotel Kap Farvel
157,Abalak,RU,61.57,broken clouds,58.1286,68.5944,Туристический комплекс Абалак
158,Oksfjord,NO,51.87,overcast clouds,70.2396,22.3479,
159,Aykhal,RU,51.71,overcast clouds,66.0,111.5,
160,Honiara,SB,76.69,broken clouds,-9.4333,159.95,Heritage Park Hotel
162,Gijon,ES,71.06,few clouds,43.5357,-5.6615,Miramar
163,Sotouboua,TG,77.5,moderate rain,8.5667,0.9833,Auberge Médina
164,Maarianhamina,AX,58.86,few clouds,60.0973,19.9348,Park Alandia Hotel
165,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
166,Faanui,PF,78.51,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
167,Waingapu,ID,76.21,clear sky,-9.6567,120.2641,Pondok Wisata Elim
168,Caucaia,BR,87.75,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
169,Gizo,SB,81.34,light rain,-8.103,156.8419,Imagination Island
171,Berlevag,NO,46.2,overcast clouds,70.8578,29.0864,Kvitbrakka
172,Wausau,US,78.26,clear sky,44.9591,-89.6301,Jefferson Street Inn
173,Bambous Virieux,MU,66.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
174,Husavik,IS,66.11,broken clouds,66.0449,-17.3389,Bjarnabúð
175,Limon,CR,84.09,broken clouds,10.0,-83.0333,Hotel Playa Bonita
176,Kyshtovka,RU,63.43,scattered clouds,56.555,76.6271,Uyutnaya Mini-Hotel
177,Griffith,US,79.9,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
178,Piacabucu,BR,78.71,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
179,Brookhaven,US,86.95,scattered clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
180,Oussouye,SN,86.18,overcast clouds,12.485,-16.5469,Auberge du Routard
181,Uige,AO,77.99,light rain,-7.6087,15.0613,Hotel Catraio
182,Coquimbo,CL,56.93,broken clouds,-29.9533,-71.3436,Punto de encuentro
183,Tobermory,CA,71.31,clear sky,45.2501,-81.6665,Escarpment Heights Motel
184,Puerto Escondido,MX,86.61,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
185,Bengkulu,ID,76.12,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
186,Samarai,PG,78.21,broken clouds,-10.6167,150.6667,Nuli Sapi
187,Te Anau,NZ,45.77,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
188,Khudumelapye,BW,64.89,clear sky,-23.8833,24.75,
189,Morehead,US,78.84,overcast clouds,37.2711,-87.1764,CCI Express Inn
190,La Jagua Del Pilar,CO,86.81,overcast clouds,10.5102,-73.071,JUPITER
191,Tselinnoye,RU,56.62,broken clouds,53.0833,85.6667,Zolotaya Podkova
192,Caconda,AO,72.81,clear sky,-13.7333,15.0667,
193,Chon Buri,TH,74.62,moderate rain,13.3,101.3,หจก.จารึกคอนสตรัคชั่นแอนด์การ์เด้นท์ และ สมเจตน์ฟาร์ม
194,Ust-Kuyga,RU,41.74,overcast clouds,70.0167,135.6,
195,Tuktoyaktuk,CA,51.8,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
196,Gazanjyk,TM,85.21,clear sky,39.2446,55.5154,Railway motel
197,Yaan,NG,78.82,light rain,7.3833,8.5667,
198,Poso,ID,76.06,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
199,Nome,US,48.27,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
200,Lazaro Cardenas,MX,86.2,few clouds,17.9583,-102.2,quinta antigua
201,Haines Junction,CA,48.15,light rain,60.7522,-137.5108,Parkside Inn
202,Miragoane,HT,83.37,broken clouds,18.4423,-73.0876,MMM K-TICHON
203,Los Llanos De Aridane,ES,74.95,few clouds,28.6585,-17.9182,Valle Aridane
204,Maniitsoq,GL,45.54,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
205,Nemuro,JP,55.47,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
206,Mookane,BW,62.98,clear sky,-23.688,26.6595,
207,Togur,RU,64.36,light rain,58.3631,82.8265,
208,Egvekinot,RU,40.6,few clouds,66.3167,-179.1667,
209,Khatanga,RU,57.87,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
210,Pacific Grove,US,61.43,overcast clouds,36.6177,-121.9166,Lovers Point Inn
211,Le Vauclin,MQ,84.33,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
212,Assiniboia,CA,80.51,broken clouds,49.6334,-105.9845,Canalta Hotel Assiniboia
213,Cidreira,BR,62.37,overcast clouds,-30.1811,-50.2056,Hotel Castelo
214,Batticaloa,LK,81.55,overcast clouds,7.7102,81.6924,Grand Star Guest House
215,Saint-Augustin,CA,65.32,overcast clouds,51.226,-58.6502,
216,Kahama,TZ,75.54,broken clouds,-3.8333,32.6,Kahama Gold Hotel
217,Chumikan,RU,62.89,overcast clouds,54.7183,135.315,Fortuna
218,Plettenberg Bay,ZA,57.72,clear sky,-34.0527,23.3716,Thanda Vista B&B
219,Provideniya,RU,50.31,light rain,64.3833,-173.3,
220,Genhe,CN,60.46,overcast clouds,50.7833,121.5167,Companionship Hotel
222,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
223,Alirajpur,IN,79.65,broken clouds,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
224,Dubuque,US,79.56,clear sky,42.4833,-90.8668,American Inn and Suites
225,Pala,TD,77.92,light rain,9.3642,14.9046,Nectar Hôtel de Pala
227,Padang,ID,77.18,overcast clouds,-0.9492,100.3543,Mercure Padang
228,Buala,SB,79.83,light rain,-8.145,159.5921,Maringe Lagoon Lodge
229,Umm Lajj,SA,89.53,clear sky,25.0213,37.2685,Moon light Furnished Units
230,Sibolga,ID,76.59,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
231,Torbay,CA,81.37,light rain,47.6666,-52.7314,Gallows Cove
232,Neuquen,AR,53.49,light rain,-38.9516,-68.0591,Hotel del Comahue
233,Nanfeng,CN,77.68,broken clouds,23.7434,111.7959,Nanfeng Hotel
234,Kiruna,SE,56.32,clear sky,67.8557,20.2251,Camp Ripan
